t;emg
2607;747
2608;747
2609;747
2610;747
2611;747
2612;747
2613;747
2614;747
2615;747
2616;747
2617;747
2618;747
2619;747
2620;747
2621;747
2622;747
2623;747
2624;747
2625;747
2626;747
2627;747
2628;747
2629;747
2630;747
2631;747
2632;747
2633;747
2634;747
2635;747
2636;747
2637;747
2638;747
2639;747
2640;747
2641;747
2642;747
2643;747
2644;747
2645;747
2646;747
2647;747
2648;747
2649;747
2650;747
2651;747
2652;747
2653;747
2654;747
2655;747
2656;747
2657;747
2658;747
2659;747
2660;747
2661;747
2662;747
2663;747
2664;747
2665;747
2666;747
2667;747
2668;747
2669;747
2670;747
2671;747
2672;747
2673;747
2674;747
2675;747
2676;747
2677;747
2678;747
2679;747
2680;747
2681;747
2682;747
2683;747
2684;747
2685;747
2686;747
2687;747
2688;747
2689;747
2690;746
2691;747
2692;747
2693;747
2694;747
2695;747
2696;747
2697;747
2698;747
2699;747
2700;746
2701;746
2702;747
2703;747
2704;747
2705;747
2706;747
2707;747
2708;747
2709;747
2710;747
2711;747
2712;747
2713;747
2714;747
2715;747
2716;747
2717;747
2718;747
2719;747
2720;747
2721;747
2722;747
2723;747
2724;747
2725;747
2726;747
2727;747
2728;747
2729;747
2730;747
2731;747
2732;747
2733;747
2734;747
2735;747
2736;747
2737;747
2738;747
2739;746
2740;747
2741;746
2742;747
2743;747
2744;746
2745;746
2746;746
2747;746
2748;747
2749;747
2750;746
2751;746
2752;746
2753;746
2754;746
2755;746
2756;746
2757;747
2758;746
2759;746
2760;746
2761;746
2762;746
2763;746
2764;746
2765;746
2766;747
2767;746
2768;746
2769;746
2770;746
2771;747
2772;747
2773;746
2774;747
2775;746
2776;746
2777;747
2778;747
2779;747
2780;747
2781;747
2782;747
2783;747
2784;747
2785;747
2786;747
2787;747
2788;747
2789;747
2790;747
2791;747
2792;746
2793;747
2794;746
2795;746
2796;746
2797;746
2798;746
2799;746
2800;746
2801;746
2802;746
2803;746
2804;746
2805;746
2806;746
2807;746
2808;746
2809;746
2810;746
2811;746
2812;746
2813;746
2814;746
2815;746
2816;746
2817;746
2818;746
2819;746
2820;746
2821;746
2822;746
2823;746
2824;746
2825;746
2826;746
2827;746
2828;746
2829;746
2830;746
2831;746
2832;746
2833;746
2834;746
2835;746
2836;746
2837;746
2838;746
2839;746
2840;746
2841;746
2842;746
2843;746
2844;746
2845;746
2846;746
2847;746
2848;747
2849;746
2850;746
2851;746
2852;746
2853;746
2854;746
2855;746
2856;746
2857;746
2858;746
2859;746
2860;746
2861;746
2862;746
2863;746
2864;746
2865;746
2866;746
2867;746
2868;746
2869;746
2870;746
2871;746
2872;746
2873;746
2874;746
2875;746
2876;746
2877;746
2878;746
2879;746
2880;746
2881;746
2882;746
2883;746
2884;746
2885;746
2886;746
2887;746
2888;746
2889;746
2890;746
2891;746
2892;746
2893;746
2894;746
2895;746
2896;746
2897;746
2898;746
2899;746
2900;746
2901;746
2902;746
2903;746
2904;746
2905;746
2906;746
2907;746
2908;746
2909;746
2910;746
2911;746
2912;746
2913;745
2914;745
2915;745
2916;745
2917;745
2918;746
2919;745
2920;746
2921;746
2922;745
2923;746
2924;746
2925;745
2926;745
2927;746
2928;745
2929;745
2930;746
2931;745
2932;746
2933;746
2934;746
2935;746
2936;746
2937;746
2938;746
2939;746
2940;746
2941;746
2942;746
2943;746
2944;746
2945;746
2946;746
2947;746
2948;746
2949;746
2950;746
2951;746
2952;746
2953;746
2954;746
2955;746
2956;746
2957;746
2958;746
2959;746
2960;746
2961;746
2962;746
2963;746
2964;745
2965;746
2966;746
2967;745
2968;746
2969;746
2970;746
2971;745
2972;745
2973;745
2974;745
2975;745
2976;746
2977;745
2978;745
2979;745
2980;745
2981;745
2982;746
2983;745
2984;745
2985;745
2986;745
2987;745
2988;745
2989;745
2990;745
2991;745
2992;746
